query_pmid,top1_pmid,top1_dice,top2_pmid,top2_dice,top3_pmid,top3_dice,worst_pmid,worst_dice
19018317,34721001,0.214451,35401094,0.189186,35132408,0.172059,32642931,0.0
19479053,29795642,0.503904,23710371,0.373115,27708610,0.348879,32642931,0.0
19572020,37015869,0.233688,26180778,0.217658,27992533,0.213004,30770788,0.0
19668699,25793765,0.190312,24278150,0.177171,34898646,0.173653,32642931,0.0
19710635,36551944,0.221151,28551777,0.209721,24058350,0.206007,32642931,0.0
19754932,34220322,0.195517,33118931,0.187409,32973642,0.182322,32642931,0.0
19949484,36087119,0.31221,28690501,0.238761,32528262,0.235191,32642931,0.0
20360963,26373380,0.222032,32567365,0.184128,35308883,0.183561,32642931,0.0
20368976,27909005,0.0,31174338,0.0,34474318,0.0,30770788,0.0
20461148,28690501,0.279062,34984762,0.258778,31096180,0.243512,36676068,0.0
20559545,28551777,0.276611,31346001,0.253103,33530043,0.23712,30679738,0.0
20877426,23715092,0.265507,26180778,0.260148,34492032,0.240834,32642931,0.0
21151373,36551944,0.203632,33530043,0.18969,37475742,0.17478,31920484,0.0
21152341,23999082,0.225812,31920587,0.199089,36635220,0.197384,32642931,0.0
21347218,35325839,0.304462,31785530,0.270992,22936472,0.24485,32642931,0.0
21390219,29795642,0.321745,19479053,0.309193,30705642,0.232764,32642931,0.0
21448435,26124712,0.24326,34962111,0.218851,26104102,0.208257,32642931,0.0
21686319,22053153,0.227735,28551777,0.226566,35477020,0.219259,36711210,0.0
21936740,31854024,0.243645,34394339,0.196272,31501442,0.183512,32642931,0.0
22053153,35477020,0.269717,34349186,0.268745,34394339,0.26813,32642931,0.0
22131965,32378710,0.278602,30294257,0.251995,36845415,0.25,32642931,0.0
22144982,36935917,0.26742,33615612,0.258799,36009093,0.254956,34689151,0.0
22174802,34617016,0.400899,36371438,0.331717,19479053,0.284646,32642931,0.0
22403524,32761343,0.224829,35259524,0.192936,34231944,0.183008,35136959,0.0
22470337,34959050,0.275857,37176617,0.265198,35477020,0.261616,35967898,0.0
22529908,33806837,0.226233,34761123,0.21812,32665756,0.162946,32642931,0.0
22738335,31022978,0.302363,37151844,0.285524,33976383,0.242844,35136959,0.0
22936472,21347218,0.24485,35580840,0.23802,29311859,0.235031,32642931,0.0
22997054,25767441,0.20134,29330483,0.196344,30816252,0.19549,32642931,0.0
23028653,26397824,0.299894,26090679,0.261497,36081664,0.155065,30770788,0.0
23119088,31747689,0.343394,29934941,0.282609,32936989,0.280331,30770788,0.0
23144799,34413723,0.3596,30596801,0.311728,33395956,0.285207,32642931,0.0
23189049,29934675,0.242321,26867499,0.233833,26177270,0.231947,32642931,0.0
23209761,33569254,0.351633,27302746,0.284455,30079017,0.270318,30770788,0.0
23284706,37165097,0.173999,30787863,0.16974,28981541,0.150519,32642931,0.0
23316178,26177270,0.256847,37190541,0.224157,24789812,0.211243,32642931,0.0
23322456,37576018,0.322861,34103606,0.294758,32440590,0.292593,30294257,0.0
23437205,31408088,0.247772,32362844,0.186424,30367110,0.183818,30294257,0.0
23444053,31795057,0.243408,32351412,0.242817,36291212,0.231769,32642931,0.0
23565102,29208951,0.238585,33061894,0.221525,31785530,0.206329,32642931,0.0
23570420,36371438,0.255787,35069409,0.185355,34356181,0.177388,30770788,0.0
23638181,25339893,0.297533,31156452,0.250607,34573269,0.221307,32642931,0.0
23646178,37032830,0.237422,32378710,0.197214,32642931,0.165011,36935917,0.0
23710371,19479053,0.373115,37008224,0.200481,29795642,0.171331,32642931,0.0
23715092,24009565,0.300917,31164996,0.281129,20877426,0.265507,32642931,0.0
23717628,29312029,0.324888,31128318,0.219747,33615612,0.21667,32642931,0.0
23840505,33633528,0.330669,33094125,0.234013,31314786,0.226209,32642931,0.0
23853676,33216127,0.180449,37303301,0.174423,32247196,0.170692,33938163,0.0
23936082,33551779,0.204489,33071928,0.197519,33806837,0.179719,32642931,0.0
23967150,29578488,0.222222,34160037,0.211842,28165888,0.206397,32642931,0.0
23999082,31920587,0.659756,34408637,0.392376,28912675,0.333922,32642931,0.0
24009565,23715092,0.300917,28210930,0.275187,32292332,0.207695,32642931,0.0
24040309,31408088,0.173423,27218420,0.171799,37521699,0.165959,36676068,0.0
24058350,35477020,0.267734,29462481,0.255057,22053153,0.243387,32642931,0.0
24278150,33617124,0.283505,26793136,0.250182,30679738,0.232598,32642931,0.0
24319433,35701598,0.1932,33769661,0.183639,28291839,0.163289,35136959,0.0
24600224,28522971,0.269473,35480997,0.213749,30147649,0.18034,32642931,0.0
24672481,32936989,0.235594,31011061,0.16937,34827484,0.162818,30294257,0.0
24789812,23316178,0.211243,33841130,0.175373,35046525,0.163383,30770788,0.0
24888510,28071765,0.232452,34469847,0.199733,36968234,0.192737,26403064,0.0
25079070,30553761,0.230846,36819220,0.207158,33761000,0.192576,32642931,0.0
25221495,33615612,0.205239,35079026,0.186532,27630558,0.168055,30770788,0.0
25310815,23144799,0.209107,28985422,0.201939,31096180,0.187842,32642931,0.0
25339893,23638181,0.297533,31156452,0.242766,28551777,0.221848,32642931,0.0
25340398,29902208,0.320887,28848423,0.262435,30319377,0.249073,30770788,0.0
25393961,30878612,0.306633,31501448,0.270723,30705642,0.237066,32642931,0.0
25479196,34680538,0.17313,29372058,0.166456,35731447,0.142622,32642931,0.0
25520636,30101060,0.207587,32937445,0.186606,32435739,0.175311,32642931,0.0
25538649,31785530,0.258597,34899156,0.203604,33424663,0.192089,36676068,0.0
